Rating,Reviews
2,Wow.
1,Super-awful
1,poor quality
2,I've got the ice in me.
1,How not to write a book!
1,Eye opening
1,Rule#1: Just because it's published doesn't mean it's true.
1,A codex of garbage
1,Outrageous pack of lies
1,No understanding of the Catholic Church
1,"May God have mercy on you, seriously!"
1,A Good Fantasy
1,Good idea that fails in implementation
2,UK TO THE FULLEST
2,A wonderful story
1,Not good enough
1,Made me feel icky
2,"A good buy for Sedaris fans, but mostly available elsewhere"
2,Something more serious
2,Rolling on the floor in a fit of laughter
1,A literary reality show?
1,Random rantings from a drugged homosexual
2,Dress Your Family in Corduroy and Denim
1,"good pan, just hope you don't need the lifetime warranty"
2,Farberware classic 10 inch frying pan
2,Fantastic
1,It didn't help my vision
2,Terrific Album but what happened to 4 Strong Winds?
1,"Great music, terrible recording/sound quality"
1,Prairie Wind review
1,Buy Neil's Greatest Hits Insted
1,Lost in stereotypes
1,If you like reading for the sake of reading...
1,Misguided Purchase
1,Not as shown
1,No plot
1,B movie
1,Ewwwww...
2,Excellent (no spoilers)
2,stealth movie
1,Don't waste your time
1,"Poorly researched, this book is a must-NOT Read."
1,very poor quality
2,"trashy, but quick and entertaining"
2,Couldn't put it down!
2,The Other Boleyn Girl
1,Tawdry
2,"Scandle, sex, and fun"
1,Not worth the time
2,Makes you want to keep reading on
2,Easy reading
2,LOVED THIS BOOK
2,History Brought to Life
1,I Already Knew the story
1,Historical Fiction Overdone!
1,Finally finished it
1,A novel for the intellectually challenged
1,"""Other Boleyn Girl"" a future Lifetime movie for certain"
2,One of the best books I have ever read!
2,Very enjoyable...
2,"A ""can't put down"" book!"
2,A Fast Read
2,When Movies were More Fun
2,13 Ghosts Review
1,Disappointed....
1,"good idea, poor implementation"
2,"A very pretty decoration for all, and fun for children"
2,Flawless
2,"Clear and concise, but requires supplementation"
2,Not just for breast feeding moms :-)
2,PHOTOGRAPHERS HELPER
2,AWESOME PRODUCT
1,Don't really get it...not useful for us at all!
1,recalled boppy
1,Wait to buy
2,A great product!
2,Great for taking pretty photos
2,"Roses are reds, violets are blue, this movie is recommended for you!"
2,This was so funny
1,Definitely a disappointment!
1,SORDID BOOK!
1,how can you like this?
2,Golding at his Greatest
2,Authority
2,all in all a good book
2,A must read
1,Weird
1,Not the Best novel
2,You sure you want to read this?
1,Most Disappointed
1,An unbelievable waste of time.
1,Thumbs down
1,"It's a good book, but not my favorite"
2,The Lord of the Flies is a great book.
1,"Great book, but the author's reading is terrible"
1,It is worse than reading the dictionary
1,"Yow! Lots of people wrote stuff, huh?"
1,Disgusted
2,Innate Savagery
1,Boring
1,I don't like the book
2,A brilliant achievement. Symbolism beyond comparison.
2,great classic book
2,A fairly simple story with deep meaning
1,No wonder they call it the Lord of the Flies this book stunk
1,a conventional view of mankind
1,Took too long
1,May be a classic...but not as good as people think
1,"Lord of the Flies was creative, but lost our attention."
2,A great book on so many levels
2,Shocking
1,Novel review of the Lord of the Flies
2,Nice Book
2,"Adventouros story, good plot and fantastic characters!"
2,"Thought-provoking, creepy, depressing, and intuitive"
2,Everyone Should Read this Novel
2,the what ol' days?
1,A girlie book with lots of blood
1,Disappointing: Outdated and Not Useful
1,They cut the extras
1,Extremely poor continuation
1,very dull and witless
1,Not for kids under 12 years old
2,Compact Phono: Portable And Plays 78 RPMs
2,"A great, varied album."
2,THE favorite book in our house.
1,Very concerned about The Einstein Syndrome
2,Einstein Syndrome...Bright Children Who Talk Late
2,How to go to College Almost for Free
2,Cool Book
2,How To Go To College For Almost Free
1,The academic types love it.
2,THE great American literary genius of the 20th Century.
2,Orson Welles and Magic
2,Used It For Years
1,Poor Service from Home and Beyond
1,Vapid and vacuous
1,Dumber & Dumber
2,Parker's new charge...
2,Hard rock meets ambient
2,Awesome series.
1,GSM Phones
2,excellent reading
2,typos galore!
1,Overrated
1,Very slow
2,Fresh and exciting!
2,"Great for the beginner, the experienced, and the wanna-be"
2,Great product!
2,A Definite Page Turner!
2,Enthralling
1,Great book; the worst print quality you'll ever seen
1,Not good
1,bad video
1,Good packaging - no mushrooms :(
2,satisfying middle book of a fantasy/romance trilogy
1,beware
1,Sometimes less is more!
2,The Blob- Fear has no shape
1,A family saga that disappoints
2,Excellent even for those without formal musical training
2,Another rocking Weeds Season.
2,Great series
1,Kate Mulgrew before Voyager
2,Endless Supply of Ink
1,How To Write a Movie in 21 Days
2,This book makes anyone think he/she can write a screenplay with the inner movie method...
2,Sarah and O'Malley
2,Out of the ashes
2,A Great Summary of Labor Law
1,Very disappointed!
1,Superficial
2,"Good video, Great Gift for new Parents"
1,Did not fit BCM carry handle
2,CCS Yellow Cutting Pad
2,WORTH IT!!!!
1,Terrible Disappointment -- parts don't fit
2,Entertaining to the last page
1,Printer won't work now...
2,good
1,I was not pleased
1,"Trite, predictable tear jerker"
2,All That Matters
1,Item Not Available
2,Twilight Zone fans will love it
2,Deaver's short stories are a joy
1,I want my [money] back!
1,It is a Lambert movie
2,Inspiring and Soul-Searching!
2,Through the Narrow Gate
1,too goofy and cheesy....
1,Eggs stuck immediately
2,Perfect!
2,A daughter of the Mennonites
1,Needlessly Repetitive to Make the Story More Interesting
2,(Based on a) True Story
1,a great disappointment
1,Cibo Matto has made an incredibly boring album
1,You've got to be kidding!
2,Better Than the First
2,Excellent Movies
1,Rust problems
2,A delicious spiritual journey.
1,"Raises good questions, but was it edited?"
2,ellery queen mysteriesa
2,A very nice shoe
2,Great running shoe but why is price way up?
2,A classic
2,So sweet!
1,Forced previews
2,A perfect film
1,Not Good At All
2,No Skip-Ahead function on this DVD
2,Dundee II
1,Non-stick Coating Wore Off and is Chipping After Three Months
2,Oldie and Goodie
2,Excellent stuff!
1,Worse than surgery
2,Amazing but not his best
1,poor
2,movies that make you THINK
1,Overpriced and too many restrictions on use
2,My recommended buy
1,Not good at all!
1,A Disappointment
2,The Power of the Witch
1,Not Impressed by Cabot
1,A guide to one-night stands
1,Not entirely original...
1,Some reasonable advice.
1,Read The Art of Seduction instead
1,"For anyone else, 4 stars. For Laura, it's her nadir."
1,One of the worst spokeseman for my party..
2,better than the swiffer
2,My floors are always cleaned with a CLEAN mop now!
1,Depends on your situation
2,Does a good job
2,"Works just fine, but not cheap at all"
1,Horrible Shaving System
1,Mach3 or crap3
1,Somehow not as good as Birks
2,Very Nice!
2,good piece of collection
1,Garbage!!!
2,Superb Short Stories!
1,Update of the old book
1,Clapton masterpices
2,Long Walk to Freedom
1,"slow moving, pretentious and out of date"
2,A very beautiful coffee table book...
2,worth the wait
1,Not as expected
2,Great Book on the Best Computer
1,Make sure product is for your GPS
1,Garmin 276C Power Cord
1,THE CABLE IS DIFERENT TO THE PHOTO
2,Great gift Idea--they love it!
2,another good season for an already great show
2,3rd season of NCIS
1,Very disappointed
2,Season 3 is great!
2,A feast for the ears
2,Law
1,Terribly Dissappointed
2,Great flick
2,Close...
1,terrible
2,Great flick
1,Profanity Galore - This is not the TV Version
2,Midway
2,Midway
1,Poorest war movie ever made
2,A classic war film. Very underated.
1,I had a great expectation for this...
2,the best
2,"Intense, vibrant"
1,Like being at a drive in...
2,Excellent Look into African American History
1,n/a
1,"Set of 2 40"" Hardwood Datio Bokken Practice Sword"
1,"Cheap, and it shows."
2,Christmas present
2,Victum Of Sinility
2,Justifiable Revenge
2,A classic of its kind
1,"WATCH A WOMAN GET RAPED, BEAT, & TERRORIZED. OH HOW FUN..."
1,Based On A True Story?
1,0 STARS: Talk about rubbish...you want to talk about rubbish?
1,Has live grain bugs
2,The Book of Vodou: Charms and Rituals to Empower Your Life
1,Discover a beautiful region of France
2,Awesome
2,LOve it!
1,disappointed
1,Not a Great Book
2,"Finally, I can style my own hair!"
1,Infiniti by Conair BC173
1,Twice the effort for half the sleekness
1,not worth it
2,Works well for thick hair if you have the time...
2,Conair Straightener
1,Does not perform the functions advertised.
1,Stopped working after second use
1,Not what I was hoping for
1,Baffled
1,Disappointing at best
2,Love this thing!!
2,Good ink
1,Too thin
2,Great ink!
1,Structurally sound but
1,Immoral movie
2,Entertaining tribute
1,They changed the words!
1,poor product
1,she's so dull
2,It's finally on DVD!
2,applied the knowladge
2,akjee
1,A waste of money!!!
1,forgive me.............
2,cursing in this 80's hit movie
2,MATRIX FOREVER!! OUT OF PRINT> AGAIN!!!!!
2,Darryls Review on Transformers 20th Anniversary dvd
1,Alert alert! Not compatible with Mac!
2,"One of the most beautiful creation,In the animation industry"
2,Best movie ever
2,The Decepticons Learn A New Skill
2,Very Good
2,A blast from the past!
1,disappointed by this board game
2,BEST MUTI VITAMINS IN THE MARKET
1,Evolution is true
2,one of the most beautiful songs
1,this movie is available on iTunes!!!
2,"Clear, Concise - What All Programming Books Should Be!"
1,I have such a Tooth-Ache
1,Unsatisfactory
2,a thriller of what if times meet.
2,Intelligent and heart-wringing
2,Illogical But Wonderful
2,Fun Science Fiction
1,FRequency
2,A great character!
2,Enjoyable book
2,excellant
1,The Soviet view of the Cold War
2,Solitary Witch
2,LOVE
2,"Our favorite game, by far."
1,"If you buy this, you're buying s**t. Literally."
1,Tank top
1,Worthless
1,You call this Tai Chi???
1,Video Quality is VERY POOR - i think they copied the copy of a copy of a copy...
1,Morey is ignorant of the literature
1,Shallow and Poorly Thought Out
2,Lee plays the good guy!
1,merlin
1,"Did not speak to me, prefer ""Peaceful Warrior"" series"
2,The Court Jester
1,Worst film ever?
1,Horrible
1,"Yuck, Yuck, Yuck"
2,This a real movie about real things.
2,Great movie?
2,excellent movie
2,Real-life look into the life of teens
2,dream
2,Not A KIDS Movie
2,Nice Debut
1,Pretty but not made well
1,something u would'nt expect
2,Our Father Abraham
1,"Never got it, never heard from them"
1,BAD BACKSTREET BOYS
1,Wow bad even by DeCoteau standards
1,It was very wordy and the worst book I have ever read
2,Love it!
2,Never becomes passe!
1,Didn't like the paper quality and presentation
1,Tough going
1,Just OK
2,What's the fuss about Jane Austen?
1,Help us all
2,Great Book!
1,I Hate Emma
1,Doesn't survive the test of time
2,"Austen sparkles as always, but this is no Pride and Prej!"
1,Rubbish
2,Bernard and Miss Bianca Do It Again!
2,cave twins review from grandkids.
1,Incorrect information in this book
1,Negative review - too basic and not too helpful
2,"A ""MUST READ"" for all Home Inspectors!"
1,This book did not teach me anything I didn't already know
1,Garbage - Avoid
1,freely available
2,The Best Bible Story Book We Own!
1,Skip this author!
2,I Love It!!
2,The gateway to another world!
2,i love this book
2,Great book
2,A great book!
2,ONE OF THE GREATEST BOOKS ON EARTH!!!!!
2,Great!
2,LOVE IT!!
2,AMAZING
1,plotless
1,Not worth it
2,My Comfort Book
1,Confusing even if you are not an idiot
1,Awful movie.
2,"social scientists, take your medecine!"
2,Sowell is the soul of our time
2,Very stable
2,a must have
1,they are posers
2,This is a great CD
2,Mest above all
2,Destination Unknown
2,Mest is WICKED
2,I love this CD
2,Kick Ass Pop Punk...
2,Kick [behind] BAND!!!!
2,Third and other streams
1,Junk -- will flood your kitchen
2,This is my second time purchasing this item
2,*THE* XML book for .NET
1,"Hoping, But NO"
1,90 minutes gone from my life
2,Accurate
2,Mountain of contemplation
2,Excellent for everybody
2,sesame street
2,Great historical novel
1,Singular work of genius arrives in fish wrap
1,Duplicates others
2,A Masterpiece of English Literature
2,i love it
1,Habent sua fata libelli
1,Ulysses
1,Not for me.
1,Italics are capitalized
1,Dirty and cheap
1,not what it describe. when i actually had found out the chip is different when i had open the chip n making sure..
2,"High quality, casino-grade poker chip set"
1,Poor Quality
1,These Shows Have All Been Edited
2,Sherman Foundations and Interval Spin
1,There are better flash cartooning books out there!
1,Is book true?
2,Not Just Brokaw
1,Don't be fooled by the preview
1,Unrated?
1,"A very, very bad movie"
1,One of the worst out there.
1,Torture to watch
1,always laugh at these parody movies...but not this one...
1,Dated and Dull
1,Worst movie in history
2,great
2,Tony B -- New Chairman of the Board
2,Fun Family Film!
2,Houseboat
2,a very meaningful and entertaining movie
1,Not much redeeming value
1,Difficult Viewing
2,Old protest music by an old hippy. Definitely not country music.
1,Sorry I bought it.
1,Refund
1,Hard to follow
2,Coconutheads
2,great product
2,Good Product - Stains can be dealt with
1,It is greasy
1,There are better lubes by FAR!
2,Love it!
2,The definitive Romeo & Juliet!
2,Romeo & Juliet: Love at First Sight
1,Romeo & Juliet
2,the fight over music
1,But They're Not On an Airplane!
1,More Groans Than Laughs
1,Strictly for Seattle radicals (all others need not apply).
2,A Spark for Social Reform
2,Love this movie!
1,"Not Just ""Borderline"" Terrible--It Is Terrible!"
1,Madonna is an embarrassment...
2,"Great Movie, But..."
1,Bad
2,An amazing fun MOM book
1,Not the Planet of the Apes
2,Wonderful perspective shift!
1,???
1,"HORRIBLE, WASTE OF TIME!"
1,Women leave for all the same reasons
1,Dont Bother.............Wait for it to play on local cable
1,pretty bad
1,This should have been a good movie...
2,The Mummy Returns
1,Forgot to mention this...
1,the mummy returns
1,ryan hickneys mummy review
1,Don't buy this DVD
2,Great Special Effects
1,It stunk
1,What a waste of time
2,Good short history
1,"OK as a monocular, not a binocular"
1,RE: Mission Impossible
1,Impossible
1,Such shit
1,I was dissappointed
2,Nice Family Drama
2,Get this book and go!
2,Book was a marvel of technical details and fiction
1,Brittle Fail
2,Just what I was looking for!
2,Alarm works when power is out!
2,WING FLY HIGH !!!!!!!!!!!!!!!!!!!!!!!!
2,"Yes, It Is Better"
2,Excellent
2,Story of Saab as told by a European.
1,disturbing
1,BEWARE
1,Magic Thumb Tip
2,Meooooooooww
2,A classic which keeps you guessing.
2,Cute - I used them to decorate a cake.
2,"Yes, good movies are still being made!!!!!"
2,Great Suspensful Drama
2,the best
2,Riveting
1,Pretty much a waste of time
1,Not What I Expected
2,to dream of love
1,The Emperor Has No Clothes
2,"great buy, great hair and skin!"
2,My Philips Norelco Epilator
2,Awsome
2,First epilator I've used
2,Looking for the perfect gift for the man who has everything?
1,To engineer is human - I engineered a new beverage coaster!
1,Save yourself the time...
1,Had SO much potential....
1,"I liked the backcover blurb, but..."
1,Don't waste your money
1,Bug Zapper
1,"Poor stitching, doesn't hold up"
2,Works with AVIC-D3
2,(3.8)stars still good
2,So far - tr̬s bon
1,Is it over yet?
1,Crap
2,You're Gonna This Book
1,We Are The World meets Journey
1,TV goes out after 90 days
2,Faith in this Movie
2,Sweet romantic comedy...
2,Love it!
2,A good collection but......
2,After 21 Years....
2,Suprisingly enjoyable
1,DEPP COULDN'T SAVE THIS ONE
1,Great movie!
2,Crime does not pay. No honor among thieves. A very good life lesson based on a true story
1,Heavy handed
1,Hogan's halo hailed on by this half-witted horror...
1,Please no more!
1,Not the Buddy Holly I know and love
1,Pathetic movie feels like a made for TV movie! Rent it first
2,Amazing
2,read it for your own reaction.
2,"Profound, Poetic, and Disturbing"
2,"L'Etranger, The Stranger"
2,A Good Classic
2,goth background research
1,SO overrated
2,Not existentialist - depressed!
2,Existentialism at its finest!
2,"Great Book, I couldn't put it down"
2,Good CD dictionary that can be better
1,No support for low screen res
2,Excellent Dictionary
1,not the worse film or acting...
2,Fame is so important
1,A Train Wreck
1,0 Star Presentation of a 5 Star Movie; Sony/Image Lied
1,What a pity
2,Can we escape our past ?
1,A Little Hard to Follow for a Timeless Classic
1,Couldn't finish it
2,A great work of art
2,exquisite
1,"Long Winded, Sand and Stars"
1,WHY???
1,Looks and feels too cheap to give as a gift
1,Must be made in China
1,Cute But Poor Quality
2,This book is thorough but poorly written.
1,"Re-Releasing ""An Evening With John Denver"" under a different title!"
2,Bang Bang Kiss Kiss
1,No idea about this album
2,prattgirl
2,Letters of the Past
2,"Great Story, Patterson Does It Again"
1,YUCK!
1,Pathetic Dialogue
1,This is Og Mandino at his worst
1,absolute treacle
1,Majorly sucked
1,Just like Suzanne's Diary...
1,Tear Up the Formula
1,Some of the worst writing I have ever read!
1,NOT the originals
2,The Only Doo-Wop collection you'll ever need
1,disappointing
1,Complete waste of time
2,show the entire movie
1,really BAD Sony transfer.
1,Lol...Filth
1,Garbage
1,Not for everyone
2,"Sweet and funny, though completely predictable"
2,"Adorable Fun Movie, Great Cast!"
2,Sweet Little Movie
2,Hugh Jackman is scrumptous!!! ;)
1,Not the best....
2,"For light comic romantic entertainment, it's a winner..."
1,Scanned from VHS?
1,duped
2,Pinocchio (Disney Gold Classic Collection)
1,no extra features!
1,Very Dissapointed
1,Pinocchio not the only one who lies!
2,It's a classic !!
1,This movie was such a bad movie!
2,Pinocchio 2 Disc Anniversary Edition
2,love it
2,BD-live features mostly worthless
1,Not very good
2,The Fundamentals of Math AND Philosophy
2,Love it!!
2,Vote For Stillson!...
2,Good movie
2,Very pertinent to how we raise our sons in this society.
1,Predictable
2,The classic analysis on the internal life of boys
2,A Family Comedy That Is Out Of This World.
2,Great Flick!
2,funny and a little scary
2,Good Entetainment
2,Awesome Picture!!!
2,Don't walk across the football pitch in the dark...
1,Quite possible the worst movie of all times. 0 stars
1,Laurel & Hardy Perils
1,Received a used set
1,A disappointment!
2,Seitan Quickly
1,Damaged goods
1,Screens wore out quickly
1,Very disappointed
1,Not her best
1,insipid
2,A CD you can listen to over and over...
1,Neighbor's Dog Liked it More than I thought...
1,Do not buy...
2,Excellent Fuel for Robot Army
1,Need a lawyer or an act of Congress !!!!
2,Thank you Jewish Physics
1,Can of cancer
1,NOT ENOUGH!
1,WARNING: DO NOT EAT
2,"Do Not own yet, but will in near future..."
2,I like it. I love it! I want some more of it!!
1,Distaff.
1,*GAG* - Not another sugar-coated chick flick!!
1,predictable
1,I hope not.
2,EXCELLENT
2,good overall toy
1,There are none so blind then those who refuse to see!
2,Wow!
2,Elvis review
2,Excellent edition of the book
2,The Count of Monte Cristo by Alexandre Dumas (kindle)
2,"This is the Muhammad Ali of books, The Greatest of all time."
2,Worth a second read.
2,Kinda wish I had read the longer one!
1,Poor Quality
2,The Count of Monte Cristo
2,The Count of Monte Cristo
2,The Count of Monte Cristo (Oxford world Classics)
2,"Superb, but definitely a product of its time"
1,"Terrible, terrible edition"
2,Excellent
1,"Abridged version, buyer beware."
1,Horrible
2,Great story of redemption
1,Thumbs down
2,breath of fresh air
2,This book would make a great Mother's day gift!
2,Highly recommended baby doll!
2,This is one of the best movies from the late '80s
2,IT WAS THE BEST!!!
1,Ordered for Christmas but...
2,One of the best movies ever made!!
2,I LOVE THIS MOVIE!!!
2,I love this movie!
2,sexy/thoughtful
2,8701-Usher!
2,LOVE THIS ALBUM!!!
1,who would have thought..
2,2nd BEST CD I'VE EVER HEARD!!
2,usher was creative then
1,Don't Bother
1,ewan mcgregor's hot
2,Riveting Reading!
1,good for a b-day prsent?
1,"TERRIBLE, TERRIBLE."
2,Fast moving police drama
2,"Timeless, Greyish and Well Structured Police Story"
2,THE BEST CRIME MOVIE EVER MADE!
2,THE FRENCH CONNECTION
1,inadequate disclosure
1,Low quality sound
2,THE REAL PLAYAS
2,GREAT resource!
2,AWESOME!
2,Crystal Growing Science Kit
1,"I never thought Meryl Streep could give a ""bad"" performance."
1,Okay !!!!
1,Too drawn out!
2,Hilarious
1,Not quite...
1,Worthless!
1,I really don't recommend this product.
1,drying and sticky
2,This book is possibly the best I've ever read.
1,A story as lush as the planet it is set on!
1,"A Great Book, Horrible Price"
1,predictable
1,It;s just not very good
2,You won't regret
2,"Brief, but to the point"
2,The Greatest Novel Ever Written
2,The best book I ever read
1,Great writing - poor publishing
1,Do yourself a favor and don't open it!
1,"Sorry, but I really didn't like it very much"
2,Read the Series
2,DUNE ...Best Science Fiction Book I have ever read!
2,A Lifetime Favorite
1,Kindle version
1,Embarrassing Ebook
2,DUNE is the book for our time
1,What was the point of this book again?
2,No doubt about it!
2,Dune
2,Interesting continuation.
2,just a few steps to total enlightenment
2,Dune
2,Just the Best
2,"Not the best book ever, but it is up there."
1,An over-rated piece of fiction
2,Warm and self sacrificing
1,Horribly Disappointing
2,Curl up and enjoy on a Rainy Day with a Cup of Tea.
2,GREAT MOVIE
1,Contrived and so far from what we know about Jane Austen it is impossible to make the leap
2,one word: unbelievable
2,Greaat Movie
2,My Son's FAvorite
2,Jumanji is fun!
2,Day-Timer stand
1,So where's the rest of it????
1,a sorry bit of commercialism
2,Great toy! Great service!
1,Fuel Pump
1,Plays but is noisy
1,This book is being revised - so the FACTS can be adjusted
1,Kerry's Tour Of Duty For North Vietnam
1,Not a hero.
1,Campaign for Kerry
1,Waste of time and money
1,Shame on Amazon.com's Political Bias
2,Liberals Read This Book!
2,what a world
2,Chilling!
1,Dangerous!
1,Misleading information
2,A Classic
2,This is one funny movie!!
2,personal top #10
2,Great comedy from before foul language
1,Pathetic Attempt at Bond
1,<*** This movie is BAD! ****>
1,"Top 10 reasons you saw ""XXX"""
2,Please! It's Entertainment Not Reality!
1,"Mindless, Pointless and Insulting"
1,head for the XXX-it
1,Unleaded
1,Triple Bad!!!
1,HORRIBLE!!!!!!
2,Good introductory real options book for beginner or manager
2,An American Classic
2,Captivating
1,deplorable
1,Pointless
2,Extremely unappreciated
1,Thou Preachest Too Much!
2,Ladies & Gentlemen...it's The Rolling Stones!
2,"This is a great album, a thrilling display of funky brilliance and virtuosity."
2,say YES to THE STONES
1,the same thing.....
1,YUK..............
1,What a Bunch of Trash!
1,"Oh, Pleeeze"
1,This CD reminds me of a not good CD
2,Another winner
2,TL!
1,"OK, but there's better stuff out there for the money"
1,Big Disappointment
1,thumbs down
2,Improves with age...
2,Joseph ...
2,Best Musical of All Time
2,Can't get enough!!!!!
1,"Can we say ""overproduced""?"
1,Not for Children
2,Joseph and the Amazing Tecno Dreamcoat is the best!
2,The whole family enjoys it!
2,Eye-opening version... Re-orchestrated?
2,Amazing Things About Joseph
1,Buy the soundtrack instead.
2,I really like
2,A must have for aspiring colorists and lettering
1,Okay but short of expectations
2,Some people...
2,Much Respect
1,Stuff is great but don't buy here
2,Awesome.... for the year that it was made
1,The Texas Chainsaw Massacre (Blu-ray)
2,THIS is horror!
2,THE SAW IS FAMILY.
1,"Widescreen yes, anamorphic, No."
2,so scary
2,Absolutely terrifying
2,"Good, but sometimes disturbing"
2,The Greatest Horror film of all time !
1,DUMB DUMB AND DUMB
1,Mt Great-Great Uncle
1,"Despite great acting by De Niro, this movie sucks."
1,All Star Cast.....But...
2,Top Notch
2,Great!
1,this is not a good movie
1,What was the point of this????
2,"""He's Back!"""
2,good
2,Queen of Hell
2,Re-Discover Your Music Collection!
2,"National Geographic ""Africa"" Series"
2,"If this CD doesn't perk you up, you're dead"
2,Damm Good Swing Cd.
1,You call this swing?
2,This cd will make you want to get up and swing dance.
2,Zoot Suit Riot is the best song on the album.
1,"Wasn't very impressed, especially after all the hype."
2,THE best album of 1998. Period.
2,oh yeah
1,Awful stuff
1,Swinging and Swearing Don't Mix
1,There's much better modern swing out there...
2,Absolutely Love Hoku!
1,Hoku is a hit... with children five and under that is!
1,Another dumb blonde
2,Great CD!
2,still the best
1,Building the Custom Home Office
2,A cornerstone in brass-band funk
2,Korean movie The Great Queen Seondeok
1,the great queen seondeok
2,"Writers, You Need This Book"
1,their lesbian schtick is running thin
2,THE MOST ENJOYABLE ALBUM OF ALL TIME!!!!!!!!!!
2,Tatu - Russian Music comes to the USA
2,These girls are definetely gonna get you!
1,Not worth it - taped @ extended/super-long play & inaudible.
1,didn't see it yet but not buying it
1,"Great cartoon, horrible quality"
1,over-whelmed with a sense of its own importance
1,Missing sounds... how annoying
1,The DVD sound is TOTALLY unacceptable
1,MOIVES ON PARADE! DO NOT ORDER-ITS WORST COPY OF HOBBIT
2,Great version of J.R.R. Tolkein's The Hobbit.
1,TERRIBLE DVD Sound - Avoid the DVD!!
1,Disappointed...
2,A review- post viewing of the Hobbit
1,Terrible DVD Transfer
1,Unwatchable!
2,Now thats what I call a bible
1,PRINT SIZE IS 6.2 NOT 9.5
2,Perfect-sized Bible
1,Caution before downloading
1,Tiny Font
2,"Good, cheap Bible for travel"
2,Great for Gifts!
1,Too long
2,Yamaha ipod dock
1,Still have not received it
1,Could have been better.
1,"This film had a point to make, but we lose interest right.."
2,Great Remote Mount Radio
2,Inspired movie!
2,Can I give it 10 STARS? Repin' HARLEM to the Fullest
1,Encounter With Alien Man
1,you gotta know when to fold em Kenny
1,Short Summary
1,"Breathtaking cinematography, invasive music, 1 hour too long"
1,"Basically ""To Kill A Mockingbird"" With Different Ethnicity"
1,Impassioned Drudgery
1,nibbling on kelp
2,Blu ray please!
1,A True Stinker
1,Great Work Of Fiction
2,"Celica 2002 GTS, no body kit"
2,Siberian Chipmunks
2,attention all TY collectors!!!!!
2,fantastic!
1,Unable to return miss labled Stearns Rearm Kit
2,Algebra: Structure and Method Book 1 (California Edition)
1,I'm happy my order was canceled
2,GREAT MOVIE
1,Not True to History or Joan of Arc
1,Miscast
1,well.....it was okay
2,Very historical
1,The Messenger: The Story of Joan of Arc
1,"Great music, Bad recording"
2,Fantastic Book
1,Never got the book and it's been a month...
2,My kids love to read this over and over
1,not as good as i was hoping
2,Mac cover
2,Gripping account of long-lasting effects of killing spree.
2,The kids loved it!
1,Charlotte's Web is better! OH MY SWEET TEMPLETON!
2,Adoption message
2,A Sure-Favorite At the Day Care!!
1,suartlittle
1,not necessarily for kids
1,Too bad no one read the book
2,A somewhat entertaining historical account
1,George b
1,Not very good
2,good
1,dated...
1,"okay, but derivative"
1,Complete Waste of time / Film
2,Everything is better with Jello!
1,Bad Book!!!
2,"Remember children, it's only the concepts."
1,barely useful
1,Could have been better
2,Great product. UI could be improved
2,Great radio! Nearly invisible instructions!
1,Disapointed
1,Sealy Best Fit 330-Thread Count Cotton Sateen Sheet Set
1,OUCH!
1,Like the idea behind the phone but not this one
1,Broken Bottle
1,Chiefs
1,Vague advice
1,A Connecticut Yankee in King Arthur's Court
2,A Great Satire in the form of a Great work of Literature
1,"I didn't really like the book it was boring, the end=best."
1,very different book
2,Another Quality Heritage Press Edition
2,Another Quality Heritage Release
2,A Clear Differentiation of the Three Codes
1,What a disappointment.
1,Need something to light a fire? Here you go...
2,A+
2,As expected
2,This guy was evil
2,good for the tackle box
1,thank you
1,"One Star, and it goes to JLH and the Stiller's"
1,Somebody shoot me.................please
1,Worst book from Whitman ever
2,My nephew loved this!
2,This is a Great Product!
1,it stings
1,Terrible Nickel Allergy triggered by strap connectors/adjusters
1,"Product is cheaply made, Customer Service was terrible from Elmosworld"
1,Genuine Chinese Crap
2,I agree
1,LOUSY PHONE
2,Great CD
2,Just what I wanted
1,poor quality
1,Poor light - Looses charge fast
1,Flashlight
1,"Reed switch doesn't work, the flashlight is inoperable."
1,Not Louie Anderson's finest hour...
1,Not Recommended
2,Better than expected
1,Let's replace plot and acting with profuse profanity and see if they can tell the difference...
1,Original thought
1,Low Quality Packing tape
1,Bad!!I false advertiser!
1,sent wrong speaker
2,there's nothing better than live rolling stones
2,Stones live with a full band
2,Awsome.
2,G'Day! G'Day!
2,Great
1,bling bling
2,Excellent service!!!
2,Review by a music lover
2,Changing from a 20th Century status and power driven environment to a 21st continuous learning and collaborative environment
2,"Oh, yeah! The ""Coriolanus effect""!"
1,Lousy 802.11 reception & transmission.
1,Does not work with XP
1,How Could You Do This?!?
1,The worst movie ever
1,A Stain on Lucy Maude Montgomery
1,unimaginably bad
1,Disappointing
1,Disappointing
1,dissapointed to say the least
1,Not the same as Anne 1 & 2.
1,Soooooo disappointed
1,Don't do it!!!!
1,Has NOTHING in common with the Books!!!!
1,Big Problems with Amazon's Quality Control
2,great movie great service
1,Darcy
1,I am very disappoinsted.
1,Not as Good
2,"still a riot, more hilarious"
1,Not what I had expected
1,DRIVE-IN SECOND FEATURE
2,Very good!!!
1,Spend a little more and get a better router
1,"Easy setup, poor range"
1,DO NOT BUY THIS!!!
1,Repeatedly Hangs
2,Good Solid Cordless Phone
1,ditto to horrible battery life...
1,Lousy support after the sale
1,Disappointed consumer
1,Panasonic 2563W
2,Amazing set of cookware!
